des(0,8173,2288)
(0,"p_start",1)
(1,"p_start",2)
(1,"r_starts",3)
(2,"p_start",4)
(2,"r_starts",5)
(3,"p_start",5)
(3,"p_started",6)
(4,"p_start",7)
(4,"r_starts",8)
(5,"p_start",8)
(5,"p_started",9)
(5,"r_starts",10)
(6,"p_start",9)
(6,"p_intoSC",11)
(6,"p_sop",12)
(7,"p_start",13)
(7,"r_starts",14)
(8,"p_start",14)
(8,"p_started",15)
(8,"r_starts",16)
(9,"p_start",15)
(9,"p_intoSC",17)
(9,"p_sop",18)
(9,"r_starts",19)
(10,"p_start",16)
(10,"p_started",19)
(11,"p_start",17)
(11,"p_move",20)
(12,"p_start",18)
(12,"r_stops",21)
(13,"r_starts",22)
(14,"p_start",22)
(14,"p_started",23)
(14,"r_starts",24)
(15,"p_start",23)
(15,"p_intoSC",25)
(15,"p_sop",26)
(15,"r_starts",27)
(16,"p_start",24)
(16,"p_started",27)
(16,"r_starts",28)
(17,"p_start",25)
(17,"p_move",29)
(17,"r_starts",30)
(18,"p_start",26)
(18,"r_starts",31)
(18,"r_stops",32)
(19,"p_start",27)
(19,"p_intoSC",30)
(19,"p_sop",31)
(19,"p_started",33)
(20,"p_start",29)
(20,"r_begin_move",34)
(21,"p_start",32)
(22,"p_started",35)
(22,"r_starts",36)
(23,"p_start",35)
(23,"p_intoSC",37)
(23,"p_sop",38)
(23,"r_starts",39)
(24,"p_start",36)
(24,"p_started",39)
(24,"r_starts",40)
(25,"p_start",37)
(25,"p_move",41)
(25,"r_starts",42)
(26,"p_start",38)
(26,"r_starts",43)
(26,"r_stops",44)
(27,"p_start",39)
(27,"p_intoSC",42)
(27,"p_sop",43)
(27,"p_started",45)
(27,"r_starts",46)
(28,"p_start",40)
(28,"p_started",46)
(29,"p_start",41)
(29,"r_begin_move",47)
(29,"r_starts",48)
(30,"p_start",42)
(30,"p_move",48)
(30,"p_started",49)
(31,"p_start",43)
(31,"p_started",50)
(31,"r_stops",51)
(32,"p_start",44)
(32,"r_starts",51)
(33,"p_start",45)
(33,"p_intoSC",49)
(33,"p_sop",50)
(34,"p_start",47)
(34,"r_end_move",52)
(35,"p_intoSC",53)
(35,"p_sop",54)
(35,"r_starts",55)
(36,"p_started",55)
(36,"r_starts",56)
(37,"p_start",53)
(37,"p_move",57)
(37,"r_starts",58)
(38,"p_start",54)
(38,"r_starts",59)
(38,"r_stops",60)
(39,"p_start",55)
(39,"p_intoSC",58)
(39,"p_sop",59)
(39,"p_started",61)
(39,"r_starts",62)
(40,"p_start",56)
(40,"p_started",62)
(40,"r_starts",63)
(41,"p_start",57)
(41,"r_begin_move",64)
(41,"r_starts",65)
(42,"p_start",58)
(42,"p_move",65)
(42,"p_started",66)
(42,"r_starts",67)
(43,"p_start",59)
(43,"p_started",68)
(43,"r_starts",69)
(43,"r_stops",70)
(44,"p_start",60)
(44,"r_starts",70)
(45,"p_start",61)
(45,"p_intoSC",66)
(45,"p_sop",68)
(45,"r_starts",71)
(46,"p_start",62)
(46,"p_intoSC",67)
(46,"p_sop",69)
(46,"p_started",71)
(47,"p_start",64)
(47,"r_end_move",72)
(47,"r_starts",73)
(48,"p_start",65)
(48,"r_begin_move",73)
(48,"p_started",74)
(49,"p_start",66)
(49,"p_move",74)
(49,"p_intoSC",75)
(49,"p_sop",76)
(50,"p_start",68)
(50,"p_intoSC",76)
(50,"p_sop",77)
(50,"r_stops",78)
(51,"p_start",70)
(51,"p_started",78)
(52,"p_start",72)
(52,"p_moved",79)
(53,"p_move",80)
(53,"r_starts",81)
(54,"p_start",82)
(54,"r_starts",83)
(54,"r_stops",84)
(55,"p_intoSC",81)
(55,"p_sop",83)
(55,"p_started",85)
(55,"r_starts",86)
(56,"p_started",86)
(56,"r_starts",87)
(57,"p_start",80)
(57,"r_begin_move",88)
(57,"r_starts",89)
(58,"p_start",81)
(58,"p_move",89)
(58,"p_started",90)
(58,"r_starts",91)
(59,"p_start",83)
(59,"p_started",92)
(59,"r_starts",93)
(59,"r_stops",94)
(60,"p_start",84)
(60,"r_starts",94)
(61,"p_start",85)
(61,"p_intoSC",90)
(61,"p_sop",92)
(61,"r_starts",95)
(62,"p_start",86)
(62,"p_intoSC",91)
(62,"p_sop",93)
(62,"p_started",95)
(62,"r_starts",96)
(63,"p_start",87)
(63,"p_started",96)
(64,"p_start",88)
(64,"r_end_move",97)
(64,"r_starts",98)
(65,"p_start",89)
(65,"r_begin_move",98)
(65,"p_started",99)
(65,"r_starts",100)
(66,"p_start",90)
(66,"p_move",99)
(66,"p_intoSC",101)
(66,"p_sop",102)
(66,"r_starts",103)
(67,"p_start",91)
(67,"p_move",100)
(67,"p_started",103)
(68,"p_start",92)
(68,"p_intoSC",102)
(68,"p_sop",104)
(68,"r_starts",105)
(68,"r_stops",106)
(69,"p_start",93)
(69,"p_started",105)
(69,"r_stops",107)
(70,"p_start",94)
(70,"p_started",106)
(70,"r_starts",107)
(71,"p_start",95)
(71,"p_intoSC",103)
(71,"p_sop",105)
(71,"p_started",108)
(72,"p_start",97)
(72,"p_moved",109)
(72,"r_starts",110)
(73,"p_start",98)
(73,"r_end_move",110)
(73,"p_started",111)
(74,"p_start",99)
(74,"r_begin_move",111)
(74,"p_intoSC",112)
(74,"p_sop",113)
(75,"p_start",101)
(75,"p_move",112)
(76,"p_start",102)
(76,"p_move",113)
(76,"r_stops",114)
(77,"p_start",104)
(77,"r_stops",115)
(78,"p_start",106)
(78,"p_intoSC",114)
(78,"p_sop",115)
(79,"p_relSC",6)
(79,"p_start",109)
(80,"r_begin_move",116)
(80,"r_starts",117)
(81,"p_move",117)
(81,"p_started",118)
(81,"r_starts",119)
(82,"r_starts",120)
(82,"r_stops",121)
(83,"p_start",120)
(83,"p_started",122)
(83,"r_starts",123)
(83,"r_stops",124)
(84,"p_start",121)
(84,"r_starts",124)
(85,"p_intoSC",118)
(85,"p_sop",122)
(85,"r_starts",125)
(86,"p_intoSC",119)
(86,"p_sop",123)
(86,"p_started",125)
(86,"r_starts",126)
(87,"p_started",126)
(88,"p_start",116)
(88,"r_end_move",127)
(88,"r_starts",128)
(89,"p_start",117)
(89,"r_begin_move",128)
(89,"p_started",129)
(89,"r_starts",130)
(90,"p_start",118)
(90,"p_move",129)
(90,"p_intoSC",131)
(90,"p_sop",132)
(90,"r_starts",133)
(91,"p_start",119)
(91,"p_move",130)
(91,"p_started",133)
(91,"r_starts",134)
(92,"p_start",122)
(92,"p_intoSC",132)
(92,"p_sop",135)
(92,"r_starts",136)
(92,"r_stops",137)
(93,"p_start",123)
(93,"p_started",136)
(93,"r_starts",138)
(93,"r_stops",139)
(94,"p_start",124)
(94,"p_started",137)
(94,"r_starts",139)
(95,"p_start",125)
(95,"p_intoSC",133)
(95,"p_sop",136)
(95,"p_started",140)
(95,"r_starts",141)
(96,"p_start",126)
(96,"p_intoSC",134)
(96,"p_sop",138)
(96,"p_started",141)
(97,"p_start",127)
(97,"p_moved",142)
(97,"r_starts",143)
(98,"p_start",128)
(98,"r_end_move",143)
(98,"p_started",144)
(98,"r_starts",145)
(99,"p_start",129)
(99,"r_begin_move",144)
(99,"p_intoSC",146)
(99,"p_sop",147)
(99,"r_starts",148)
(100,"p_start",130)
(100,"r_begin_move",145)
(100,"p_started",148)
(101,"p_start",131)
(101,"p_move",146)
(101,"r_starts",149)
(102,"p_start",132)
(102,"p_move",147)
(102,"r_starts",150)
(102,"r_stops",151)
(103,"p_start",133)
(103,"p_move",148)
(103,"p_intoSC",149)
(103,"p_sop",150)
(103,"p_started",152)
(104,"p_start",135)
(104,"r_starts",153)
(104,"r_stops",154)
(105,"p_start",136)
(105,"p_intoSC",150)
(105,"p_sop",153)
(105,"p_started",155)
(105,"r_stops",156)
(106,"p_start",137)
(106,"p_intoSC",151)
(106,"p_sop",154)
(106,"r_starts",156)
(107,"p_start",139)
(107,"p_started",156)
(108,"p_start",140)
(108,"p_intoSC",152)
(108,"p_sop",155)
(109,"p_relSC",9)
(109,"p_start",142)
(109,"r_starts",157)
(110,"p_start",143)
(110,"p_moved",157)
(110,"p_started",158)
(111,"p_start",144)
